College_ID,Expert_Group_ID,count,mean,std,min,max,range
A,A_Group1,22,87.5,8.550967642264098,71.0,98.0,27.0
B,B_Group1,20,82.1,7.047956030689064,68.0,96.0,28.0
C,C_Group1,15,85.53333333333333,7.9719747210073955,71.0,96.0,25.0
D,D_Group1,14,84.21428571428571,8.432342237148323,64.0,94.0,30.0
E,E_Group1,16,82.0625,7.1224410609471995,71.0,97.0,26.0
F,F_Group1,8,88.125,5.409977554746152,80.0,95.0,15.0
G,G_Group1,16,85.9375,9.594920531197744,70.0,98.0,28.0
H,H_Group一,9,91.55555555555556,1.943650631615099,90.0,95.0,5.0
H,H_Group二,9,91.55555555555556,1.943650631615099,90.0,95.0,5.0
J,J_Group1,5,91.4,1.3416407864998714,90.0,93.0,3.0
K,K_Group1,11,85.9090909090909,7.569075841270787,75.0,98.0,23.0
L,L_Group1,6,90.0,4.0,85.0,96.0,11.0
M,M_Group1,12,82.25,5.1720402163943,75.0,94.0,19.0
N,N_Group1,10,87.5,3.71931893407023,82.0,92.0,10.0
O,O_Group1,4,92.25,1.258305739211793,91.0,94.0,3.0
P,P_Group一,10,86.3,4.7621190427978375,80.0,94.0,14.0
P,P_Group三,10,82.2,6.014796569941315,72.0,88.0,16.0
P,P_Group二,10,82.2,6.014796569941315,72.0,88.0,16.0
R,R_Group1,14,87.21428571428571,5.8464791696643115,80.0,95.0,15.0
S,S_Group1,16,87.125,4.014556845614055,79.0,92.0,13.0
T,T_Group一,10,88.8,4.1846279537267215,82.0,95.0,13.0
T,T_Group二,10,88.8,4.1846279537267215,82.0,95.0,13.0
U,U_Group1,17,88.58823529411765,3.6581898448790873,83.0,96.0,13.0
W,W_Group1,16,83.625,9.728823155962901,68.0,99.0,31.0
