,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_global,86.48,0.723,85.169,87.904,0.012,0.01,3735.0,4210.0,1.0
alpha_college[0],0.552,1.436,-2.184,3.324,0.021,0.019,4817.0,5182.0,1.0
alpha_college[1],-2.268,1.764,-5.429,0.942,0.064,0.019,750.0,3580.0,1.0
alpha_college[2],-0.459,1.527,-3.476,2.311,0.02,0.021,5755.0,3957.0,1.0
alpha_college[3],-1.077,1.607,-4.209,1.862,0.035,0.02,2086.0,5007.0,1.0
alpha_college[4],-2.195,1.825,-5.518,1.066,0.061,0.019,874.0,4255.0,1.0
alpha_college[5],0.654,1.693,-2.461,4.002,0.026,0.024,4466.0,4726.0,1.0
alpha_college[6],-0.258,1.512,-3.054,2.705,0.019,0.021,6320.0,5388.0,1.0
alpha_college[7],2.789,1.8,-0.439,6.09,0.069,0.023,674.0,2165.0,1.0
alpha_college[8],1.561,1.973,-2.038,5.272,0.045,0.028,2029.0,3982.0,1.0
alpha_college[9],-0.259,1.571,-3.169,2.737,0.019,0.022,6923.0,5240.0,1.0
alpha_college[10],1.209,1.856,-2.156,4.893,0.04,0.029,2279.0,2355.0,1.0
alpha_college[11],-1.907,1.785,-5.274,1.179,0.058,0.019,934.0,4897.0,1.0
alpha_college[12],0.436,1.565,-2.712,3.29,0.021,0.02,5490.0,5770.0,1.0
alpha_college[13],1.616,2.063,-1.905,5.734,0.046,0.029,2044.0,4326.0,1.0
alpha_college[14],-1.871,1.394,-4.51,0.532,0.041,0.015,1117.0,4664.0,1.0
alpha_college[15],0.346,1.516,-2.584,3.247,0.02,0.021,5720.0,5188.0,1.0
alpha_college[16],0.327,1.483,-2.405,3.206,0.019,0.02,5818.0,5310.0,1.0
alpha_college[17],1.295,1.449,-1.242,4.143,0.033,0.016,1911.0,5198.0,1.0
alpha_college[18],1.05,1.533,-1.726,3.933,0.035,0.018,1989.0,5010.0,1.0
alpha_college[19],-1.402,1.632,-4.498,1.54,0.037,0.02,1893.0,5042.0,1.0
beta_expert_group[0],0.23,1.141,-1.926,2.627,0.016,0.032,5599.0,3075.0,1.0
beta_expert_group[1],-1.033,1.528,-4.319,1.236,0.07,0.04,566.0,1760.0,1.01
beta_expert_group[2],-0.212,1.198,-2.715,2.065,0.016,0.033,6615.0,2629.0,1.0
beta_expert_group[3],-0.504,1.306,-3.388,1.704,0.034,0.037,2072.0,2271.0,1.0
beta_expert_group[4],-0.97,1.512,-4.281,1.318,0.064,0.037,666.0,1940.0,1.0
beta_expert_group[5],0.291,1.267,-2.108,2.951,0.016,0.039,7513.0,2516.0,1.0
beta_expert_group[6],-0.137,1.181,-2.685,2.083,0.013,0.032,9501.0,3507.0,1.0
beta_expert_group[7],0.752,1.454,-1.587,3.93,0.057,0.046,817.0,1496.0,1.0
beta_expert_group[8],0.742,1.44,-1.69,3.822,0.055,0.041,854.0,2016.0,1.0
beta_expert_group[9],0.679,1.489,-1.77,3.915,0.044,0.043,1507.0,2224.0,1.01
beta_expert_group[10],-0.121,1.23,-2.579,2.369,0.015,0.038,7336.0,2685.0,1.0
beta_expert_group[11],0.531,1.36,-1.67,3.616,0.037,0.037,1865.0,2277.0,1.0
beta_expert_group[12],-0.854,1.45,-4.159,1.303,0.057,0.037,774.0,1835.0,1.0
beta_expert_group[13],0.175,1.248,-2.091,2.875,0.015,0.038,7762.0,3025.0,1.0
beta_expert_group[14],0.705,1.537,-2.03,3.821,0.048,0.047,1442.0,1955.0,1.01
beta_expert_group[15],0.356,1.198,-1.907,2.871,0.018,0.035,4926.0,2463.0,1.01
beta_expert_group[16],-0.754,1.402,-3.64,1.618,0.049,0.04,1031.0,1741.0,1.0
beta_expert_group[17],-0.749,1.385,-3.751,1.539,0.051,0.039,936.0,2011.0,1.0
beta_expert_group[18],0.154,1.174,-2.051,2.64,0.013,0.034,8114.0,3122.0,1.0
beta_expert_group[19],0.132,1.164,-2.214,2.443,0.012,0.034,9355.0,3564.0,1.0
beta_expert_group[20],0.365,1.266,-1.94,3.152,0.025,0.036,3601.0,2462.0,1.0
beta_expert_group[21],0.353,1.249,-1.935,3.025,0.026,0.038,3280.0,2212.0,1.0
beta_expert_group[22],0.459,1.217,-1.759,3.037,0.03,0.031,2212.0,2883.0,1.0
beta_expert_group[23],-0.626,1.338,-3.524,1.59,0.042,0.036,1250.0,3256.0,1.0
sigma_college,2.185,0.862,0.458,3.744,0.04,0.021,441.0,332.0,1.01
sigma_expert_group,1.293,0.844,0.104,2.759,0.058,0.018,178.0,274.0,1.01
sigma_error,6.529,0.281,5.994,7.042,0.003,0.003,8418.0,5877.0,1.0
