College_ID,count,mean,std,min,max,range
A,22,87.5,8.550967642264098,71.0,98.0,27.0
B,20,82.1,7.047956030689064,68.0,96.0,28.0
C,15,85.53333333333333,7.9719747210073955,71.0,96.0,25.0
D,14,84.21428571428571,8.432342237148323,64.0,94.0,30.0
E,16,82.0625,7.1224410609471995,71.0,97.0,26.0
F,8,88.125,5.409977554746152,80.0,95.0,15.0
G,16,85.9375,9.594920531197744,70.0,98.0,28.0
H,18,91.55555555555556,1.8856180831641258,90.0,95.0,5.0
J,5,91.4,1.3416407864998714,90.0,93.0,3.0
K,11,85.9090909090909,7.569075841270787,75.0,98.0,23.0
L,6,90.0,4.0,85.0,96.0,11.0
M,12,82.25,5.1720402163943,75.0,94.0,19.0
N,10,87.5,3.71931893407023,82.0,92.0,10.0
O,4,92.25,1.258305739211793,91.0,94.0,3.0
P,30,83.56666666666666,5.7755927197446875,72.0,94.0,22.0
R,14,87.21428571428571,5.8464791696643115,80.0,95.0,15.0
S,16,87.125,4.014556845614055,79.0,92.0,13.0
T,20,88.8,4.073017761342381,82.0,95.0,13.0
U,17,88.58823529411765,3.6581898448790873,83.0,96.0,13.0
W,16,83.625,9.728823155962901,68.0,99.0,31.0
