Feature,Importance
特征交互_24,0.061873432
特征交互_20,0.05982232
特征交互_23,0.055394407
妊娠时间（周数）,0.05465737
特征交互_11,0.046265226
母亲年龄,0.04567851
特征交互_5,0.0449774
EPDS,0.04407062
特征交互_16,0.04356186
特征交互_10,0.043043543
HADS,0.04121217
特征交互_7,0.03946673
特征交互_9,0.03908092
特征交互_12,0.03899548
特征交互_6,0.03809975
特征交互_15,0.037283707
特征交互_13,0.037048332
特征交互_8,0.035428207
特征交互_14,0.034496482
特征交互_22,0.033767972
CBTS,0.033419073
特征交互_21,0.031921476
特征交互_18,0.030507458
特征交互_19,0.02590395
特征交互_17,0.004023619
特征交互_25,0.0
